id_code,experiment,plate,well,sirna,well_type
HEPG2-01_1_B02,HEPG2-01,1,B02,1138,negative_control
HEPG2-01_1_C03,HEPG2-01,1,C03,1109,positive_control
HEPG2-01_1_C07,HEPG2-01,1,C07,1121,positive_control
HEPG2-01_1_C11,HEPG2-01,1,C11,1126,positive_control
HEPG2-01_1_C15,HEPG2-01,1,C15,1118,positive_control
HEPG2-01_1_C19,HEPG2-01,1,C19,1116,positive_control
HEPG2-01_1_C22,HEPG2-01,1,C22,1110,positive_control
HEPG2-01_1_F03,HEPG2-01,1,F03,1113,positive_control
HEPG2-01_1_F07,HEPG2-01,1,F07,1114,positive_control
HEPG2-01_1_F11,HEPG2-01,1,F11,1137,positive_control
HEPG2-01_1_F15,HEPG2-01,1,F15,1120,positive_control
HEPG2-01_1_F19,HEPG2-01,1,F19,1117,positive_control
HEPG2-01_1_F22,HEPG2-01,1,F22,1135,positive_control
HEPG2-01_1_H03,HEPG2-01,1,H03,1115,positive_control
HEPG2-01_1_H07,HEPG2-01,1,H07,1131,positive_control
HEPG2-01_1_H11,HEPG2-01,1,H11,1125,positive_control
HEPG2-01_1_H15,HEPG2-01,1,H15,1127,positive_control
HEPG2-01_1_H19,HEPG2-01,1,H19,1123,positive_control
HEPG2-01_1_H22,HEPG2-01,1,H22,1108,positive_control
HEPG2-01_1_J03,HEPG2-01,1,J03,1122,positive_control
HEPG2-01_1_J07,HEPG2-01,1,J07,1132,positive_control
HEPG2-01_1_J11,HEPG2-01,1,J11,1124,positive_control
HEPG2-01_1_J15,HEPG2-01,1,J15,1134,positive_control
HEPG2-01_1_J19,HEPG2-01,1,J19,1128,positive_control
HEPG2-01_1_J22,HEPG2-01,1,J22,1130,positive_control
HEPG2-01_1_M03,HEPG2-01,1,M03,1136,positive_control
HEPG2-01_1_M07,HEPG2-01,1,M07,1133,positive_control
HEPG2-01_1_M11,HEPG2-01,1,M11,1112,positive_control
HEPG2-01_1_M15,HEPG2-01,1,M15,1129,positive_control
HEPG2-01_1_M19,HEPG2-01,1,M19,1119,positive_control
HEPG2-01_1_M22,HEPG2-01,1,M22,1111,positive_control
HEPG2-01_1_O18,HEPG2-01,1,O18,1138,negative_control
HEPG2-01_2_B02,HEPG2-01,2,B02,1138,negative_control
HEPG2-01_2_C03,HEPG2-01,2,C03,1134,positive_control
HEPG2-01_2_C07,HEPG2-01,2,C07,1118,positive_control
HEPG2-01_2_C11,HEPG2-01,2,C11,1126,positive_control
HEPG2-01_2_C15,HEPG2-01,2,C15,1132,positive_control
HEPG2-01_2_C19,HEPG2-01,2,C19,1115,positive_control
HEPG2-01_2_C22,HEPG2-01,2,C22,1111,positive_control
HEPG2-01_2_F03,HEPG2-01,2,F03,1127,positive_control
HEPG2-01_2_F07,HEPG2-01,2,F07,1136,positive_control
HEPG2-01_2_F11,HEPG2-01,2,F11,1122,positive_control
HEPG2-01_2_F15,HEPG2-01,2,F15,1113,positive_control
HEPG2-01_2_F19,HEPG2-01,2,F19,1110,positive_control
HEPG2-01_2_F22,HEPG2-01,2,F22,1131,positive_control
